Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
1303;Essen-Bredeney;R1;01.09.1995;30.03.2022;1002;Gesamt_Messzeitraum;eor;                                                                                                                              
1303;Essen-Bredeney;RS_IND;01.09.1995;30.03.2022;938;Gesamt_Messzeitraum;eor;                                                                                                                           
1303;Essen-Bredeney;WRTR;01.09.1995;30.03.2022;104618;Gesamt_Messzeitraum;eor;                                                                                                                          
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
1303;Essen-Bredeney;R1;11.09.1995-22:00;11.09.1995-23:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;16.10.1995-09:00;16.10.1995-12:00;3;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;28.10.1995-08:00;28.10.1995-10:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;23.11.1995-13:00;23.11.1995-14:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;13.12.1995-22:00;13.12.1995-23:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;26.01.1996-14:00;27.01.1996-05:00;15;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;16.04.1996-10:00;16.04.1996-11:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;10.08.1996-16:00;10.08.1996-17:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;19.08.1996-05:00;19.08.1996-06:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;08.09.1996-01:00;08.09.1996-02:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;15.09.1996-23:00;16.09.1996-00:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;04.10.1996-22:00;04.10.1996-23:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;01.11.1996-23:00;02.11.1996-00:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;18.11.1996-01:00;18.11.1996-02:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;28.11.1996-08:00;28.11.1996-09:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;28.11.1996-11:00;28.11.1996-12:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;04.01.1997-07:00;04.01.1997-08:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;04.01.1997-23:00;05.01.1997-00:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;05.01.1997-02:00;05.01.1997-03:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;10.01.1997-07:00;10.01.1997-08:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;12.01.1997-23:00;13.01.1997-00:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;12.07.1997-13:00;12.07.1997-14:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;04.09.1997-03:00;04.09.1997-05:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;06.09.1997-15:00;06.09.1997-17:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;23.09.1997-22:00;23.09.1997-23:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;09.10.1997-19:00;09.10.1997-21:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;10.10.1997-01:00;10.10.1997-02:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;24.10.1997-09:00;24.10.1997-11:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;31.01.1998-01:00;31.01.1998-02:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;20.02.1998-17:00;21.02.1998-05:00;12;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;20.03.1998-11:00;20.03.1998-12:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;16.04.1998-15:00;16.04.1998-16:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;14.06.1998-03:00;14.06.1998-05:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;29.07.1998-21:00;30.07.1998-08:00;11;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;30.07.1998-10:00;30.07.1998-21:00;11;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;31.07.1998-03:00;31.07.1998-06:00;3;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;05.08.1998-06:00;05.08.1998-13:00;7;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;21.08.1998-19:00;21.08.1998-21:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;27.08.1998-07:00;27.08.1998-09:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;15.09.1998-09:00;17.09.1998-06:00;45;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;17.09.1998-08:00;18.09.1998-11:00;27;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;18.09.1998-17:00;19.09.1998-04:00;11;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;19.09.1998-10:00;21.09.1998-08:00;46;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;26.09.1998-19:00;26.09.1998-21:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;28.09.1998-05:00;06.10.1998-14:00;201;;eor;                                                                                                                                      
1303;Essen-Bredeney;R1;06.10.1998-19:00;07.10.1998-08:00;13;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;07.11.1998-14:00;07.11.1998-15:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;14.02.1999-08:00;14.02.1999-10:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;17.04.1999-14:00;17.04.1999-15:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;11.05.1999-08:00;11.05.1999-09:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;05.08.1999-05:00;05.08.1999-07:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;02.10.1999-21:00;03.10.1999-00:00;3;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;13.10.1999-09:00;13.10.1999-13:00;4;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;13.10.1999-15:00;13.10.1999-20:00;5;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;13.10.1999-22:00;13.10.1999-23:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;23.12.1999-01:00;23.12.1999-03:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;20.01.2000-01:00;20.01.2000-02:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;10.02.2000-10:00;10.02.2000-11:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;23.05.2000-08:00;23.05.2000-14:00;6;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;24.05.2000-08:00;24.05.2000-09:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;11.06.2000-01:00;11.06.2000-02:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;25.07.2000-12:00;26.07.2000-16:00;28;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;08.08.2000-09:00;08.08.2000-11:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;25.08.2000-08:00;25.08.2000-09:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;12.10.2000-07:00;12.10.2000-08:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;12.10.2000-10:00;13.10.2000-07:00;21;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;09.11.2000-09:00;09.11.2000-10:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;04.12.2000-16:00;05.12.2000-03:00;11;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;05.12.2000-23:00;06.12.2000-02:00;3;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;23.12.2000-02:00;23.12.2000-03:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;01.04.2001-01:00;01.04.2001-05:00;4;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;01.04.2001-07:00;01.04.2001-11:00;4;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;01.04.2001-13:00;01.04.2001-17:00;4;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;01.04.2001-19:00;01.04.2001-23:00;4;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;02.04.2001-01:00;02.04.2001-05:00;4;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;02.04.2001-07:00;02.04.2001-11:00;4;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;02.04.2001-13:00;02.04.2001-17:00;4;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;02.04.2001-19:00;02.04.2001-23:00;4;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;07.11.2001-13:00;09.11.2001-06:00;41;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;29.11.2001-07:00;30.11.2001-06:00;23;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;23.01.2002-14:00;23.01.2002-18:00;4;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;24.02.2002-03:00;24.02.2002-04:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;26.02.2002-06:00;26.02.2002-10:00;4;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;30.04.2002-11:00;30.04.2002-12:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;10.05.2002-14:00;10.05.2002-15:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;14.05.2002-09:00;14.05.2002-10:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;18.10.2002-20:00;18.10.2002-22:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;03.03.2003-00:00;03.03.2003-01:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;17.04.2003-13:00;17.04.2003-17:00;4;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;17.04.2003-19:00;17.04.2003-21:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;28.05.2003-08:00;28.05.2003-14:00;6;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;03.06.2003-09:00;03.06.2003-12:00;3;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;05.04.2004-08:00;05.04.2004-09:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;01.06.2004-07:00;01.06.2004-09:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;02.06.2004-18:00;03.06.2004-04:00;10;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;03.06.2004-10:00;03.06.2004-12:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;12.01.2005-09:00;12.01.2005-11:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;07.12.2005-11:00;07.12.2005-17:00;6;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;07.12.2005-19:00;08.12.2005-05:00;10;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;08.12.2005-13:00;08.12.2005-16:00;3;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;07.06.2006-09:00;07.06.2006-11:00;2;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;07.06.2006-13:00;07.06.2006-14:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;02.08.2006-18:00;02.08.2006-19:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;03.08.2006-04:00;03.08.2006-08:00;4;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;03.08.2006-10:00;03.08.2006-14:00;4;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;05.11.2007-01:00;05.11.2007-02:00;1;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;09.01.2008-21:00;10.01.2008-00:00;3;;eor;                                                                                                                                        
1303;Essen-Bredeney;R1;25.07.2008-13:00;28.07.2008-10:00;69;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;31.07.2008-17:00;01.08.2008-05:00;12;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;27.09.2008-14:00;29.09.2008-06:00;40;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;01.12.2012-08:00;03.12.2012-08:00;48;;eor;                                                                                                                                       
1303;Essen-Bredeney;R1;21.08.2014-14:00;22.08.2014-10:00;20;;eor;                                                                                                                                       
