Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  1303;  105.00; 51.4450;  7.0120;18970801;19030430;Essen-Bredeney
  1303;  106.00; 51.4364;  7.0150;19030501;19131231;Essen-Bredeney
  1303;  107.00; 51.4310;  6.9848;19140101;19270731;Essen-Bredeney
  1303;  120.00; 51.4064;  6.9373;19270801;19450508;Essen-Bredeney
  1303;  120.00; 51.4167;  6.9333;19450509;19470930;Essen-Bredeney
  1303;  120.00; 51.4064;  6.9373;19471001;19650711;Essen-Bredeney
  1303;  153.50; 51.4059;  6.9671;19650712;19850526;Essen-Bredeney
  1303;  152.00; 51.4059;  6.9676;19850527;20000725;Essen-Bredeney
  1303;  150.00; 51.4043;  6.9679;20000726;20051207;Essen-Bredeney
  1303;  150.00; 51.4041;  6.9677;20051208;        ;Essen-Bredeney
