Latitude (decimal degrees):	45.000
Longitude (decimal degrees):	8.000
Elevation (m):	250
Radiation database:	PVGIS-SARAH


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20130101:0010,0.0,0.0,0.0,0.0,3.01,1.23,0.0
20130101:0110,0.0,0.0,0.0,0.0,2.22,1.46,0.0
20130101:0210,0.0,0.0,0.0,0.0,1.43,1.7,0.0
20130101:0310,0.0,0.0,0.0,0.0,0.64,1.93,0.0
20130101:0410,0.0,0.0,0.0,0.0,0.77,1.8,0.0
20130101:0510,0.0,0.0,0.0,0.0,0.91,1.66,0.0
20130101:0610,0.0,0.0,0.0,0.0,1.05,1.53,0.0
20130101:0710,0.0,0.0,0.0,0.0,1.92,1.44,0.0
20130101:0810,5.0,53.0,0.0,8.06,2.79,1.36,0.0
20130101:0910,57.0,118.0,0.0,14.8,3.66,1.27,0.0
20130101:1010,8.0,142.0,0.0,19.54,4.37,1.0,0.0
20130101:1110,50.0,185.0,0.0,21.82,5.08,0.73,0.0
20130101:1210,237.01,108.0,0.0,21.41,5.78,0.46,0.0
20130101:1310,48.0,153.0,0.0,18.33,5.63,0.65,0.0
20130101:1410,3.0,85.0,0.0,12.93,5.48,0.84,0.0
20130101:1510,0.0,27.0,0.0,5.68,5.33,1.03,0.0
20130101:1610,0.0,0.0,0.0,0.0,4.83,0.75,0.0
20130101:1710,0.0,0.0,0.0,0.0,4.33,0.46,0.0
20130101:1810,0.0,0.0,0.0,0.0,3.82,0.18,0.0
20130101:1910,0.0,0.0,0.0,0.0,3.72,0.52,0.0
20130101:2010,0.0,0.0,0.0,0.0,3.62,0.87,0.0
20130101:2110,0.0,0.0,0.0,0.0,3.52,1.21,0.0
20130101:2210,0.0,0.0,0.0,0.0,3.32,1.22,0.0
20130101:2310,0.0,0.0,0.0,0.0,3.12,1.22,0.0
20130102:0010,0.0,0.0,0.0,0.0,2.92,1.23,0.0
20130102:0110,0.0,0.0,0.0,0.0,2.3,1.27,0.0
20130102:0210,0.0,0.0,0.0,0.0,1.69,1.32,0.0
20130102:0310,0.0,0.0,0.0,0.0,1.07,1.37,0.0
20130102:0410,0.0,0.0,0.0,0.0,1.02,1.35,0.0
20130102:0510,0.0,0.0,0.0,0.0,0.97,1.33,0.0
20130102:0610,0.0,0.0,0.0,0.0,0.92,1.31,0.0
20130102:0710,0.0,0.0,0.0,0.0,1.79,1.33,0.0
20130102:0810,25.0,59.0,0.0,8.07,2.66,1.35,0.0
20130102:0910,83.0,110.0,0.0,14.83,3.53,1.37,0.0
20130102:1010,59.0,164.0,0.0,19.59,4.19,1.97,0.0
20130102:1110,75.0,184.0,0.0,21.9,4.85,2.58,0.0
20130102:1210,187.01,137.0,0.0,21.51,5.51,3.19,0.0
20130102:1310,12.0,140.0,0.0,18.44,5.63,2.99,0.0
20130102:1410,3.0,83.0,0.0,13.05,5.75,2.8,0.0
20130102:1510,0.0,13.0,0.0,5.8,5.87,2.61,0.0
20130102:1610,0.0,0.0,0.0,0.0,4.86,2.23,0.0
20130102:1710,0.0,0.0,0.0,0.0,3.84,1.86,0.0
20130102:1810,0.0,0.0,0.0,0.0,2.82,1.49,0.0
