STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
       1303;18880101;18881231;    5;  -999;   8.38;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1303;18890101;18891231;    5;  -999;   9.17;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1303;18900101;18901231;    5;  -999;   8.58;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1303;18910101;18911231;    5;  -999;   9.02;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1303;18920101;18921231;    5;  -999;   9.17;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1303;18930101;18931231;    5;  -999;   9.99;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1303;18940101;18941231;    5;  -999;  10.22;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1303;18950101;18951231;    5;  -999;   9.54;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1303;18960101;18961231;    5;  -999;   9.67;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1303;18980101;18981231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   864.0;-999;eor
       1303;18990101;18991231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   855.0;-999;eor
       1303;19000101;19001231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   950.0;-999;eor
       1303;19010101;19011231;    5;  -999;   9.12;    -999;    -999;-999;-999;-999;-999;-999;    5;   902.0;-999;eor
       1303;19020101;19021231;    5;  -999;   8.38;    -999;    -999;-999;-999;-999;-999;-999;    5;   948.0;-999;eor
       1303;19030101;19031231;    5;  -999;   9.61;    -999;    -999;-999;-999;-999;-999;-999;    5;   953.0;-999;eor
       1303;19040101;19041231;    5;  -999;   9.42;   13.39;    5.32;-999;-999;-999;-999;-999;    5;   715.0;-999;eor
       1303;19050101;19051231;    5;  -999;   9.14;   12.65;    5.47;-999;-999;-999;-999;-999;    5;   999.0;-999;eor
       1303;19060101;19061231;    5;  -999;   9.52;   13.17;    5.72;-999;-999;-999;-999;-999;    5;  1040.0;-999;eor
       1303;19070101;19071231;    5;  -999;   9.19;   12.81;    5.14;-999;-999;-999;-999;-999;    5;   777.0;-999;eor
       1303;19080101;19081231;    5;  -999;   9.03;   12.67;    4.94;-999;-999;-999;-999;-999;    5;   882.0;-999;eor
       1303;19090101;19091231;    5;  -999;   8.87;   12.23;    4.93;-999;-999;-999;-999;-999;    5;   944.0;-999;eor
       1303;19100101;19101231;    5;  -999;   9.98;   13.44;    6.21;-999;-999;-999;-999;-999;    5;  1021.0;-999;eor
       1303;19110101;19111231;    5;  -999;  10.64;   14.30;    6.48;-999;-999;-999;-999;-999;    5;   676.0;-999;eor
       1303;19120101;19121231;    5;  -999;   9.72;   13.12;    6.13;-999;-999;-999;-999;-999;    5;  1118.0;-999;eor
       1303;19130101;19131231;    5;  -999;  10.14;   13.59;    6.87;-999;-999;-999;-999;-999;    5;   932.0;-999;eor
       1303;19140101;19141231;    5;  -999;   9.73;   13.26;    6.14;-999;-999;-999;-999;-999;    5;  1009.0;-999;eor
       1303;19150101;19151231;    5;  -999;   9.09;   12.54;    5.33;-999;-999;-999;-999;-999;    5;   915.0;-999;eor
       1303;19160101;19161231;    5;  -999;   9.52;   12.78;    6.29;-999;-999;-999;-999;-999;    5;   992.0;-999;eor
       1303;19170101;19171231;    5;  -999;   8.49;   12.07;    4.96;-999;-999;-999;-999;-999;    5;   889.0;-999;eor
       1303;19180101;19181231;    5;  -999;   9.77;   13.24;    6.19;-999;-999;-999;-999;-999;    5;   907.0;-999;eor
       1303;19190101;19191231;    5;  -999;   8.46;   11.99;    4.93;-999;-999;-999;-999;-999;    5;   896.0;-999;eor
       1303;19200101;19201231;    5;  -999;   9.85;   13.66;    6.28;-999;-999;-999;-999;-999;    5;   892.0;-999;eor
       1303;19210101;19211231;    5;  -999;  10.27;   14.50;    6.11;-999;-999;-999;-999;-999;    5;   638.0;-999;eor
       1303;19220101;19221231;    5;  -999;   8.57;   12.01;    4.86;-999;-999;-999;-999;-999;    5;   951.0;-999;eor
       1303;19230101;19231231;    5;  -999;   9.26;   12.59;    5.66;-999;-999;-999;-999;-999;    5;  1086.0;-999;eor
       1303;19240101;19241231;    5;  -999;   9.02;   12.53;    5.43;-999;-999;-999;-999;-999;    5;  1040.0;-999;eor
       1303;19250101;19251231;    5;  -999;   9.20;   13.07;    5.63;-999;-999;-999;-999;-999;    5;  1188.0;-999;eor
       1303;19260101;19261231;    5;  -999;  10.02;   13.42;    6.42;-999;-999;-999;-999;-999;    5;  1187.0;-999;eor
       1303;19270101;19271231;    5;  -999;   9.22;   12.63;    5.58;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1303;19280101;19281231;    5;  -999;   9.36;   13.45;    5.12;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1303;19290101;19291231;    5;  -999;   8.78;    -999;    4.59;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1303;19300101;19301231;    5;  -999;   9.86;   13.79;    6.17;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1303;19310101;19311231;    5;  -999;   8.63;   12.81;    4.72;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1303;19320101;19321231;    5;  -999;   9.44;   13.33;    5.57;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1303;19330101;19331231;    5;  -999;   8.84;   13.37;    4.76;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1303;19340101;19341231;    5;  -999;  10.38;   14.24;    7.42;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1303;19350101;19351231;    5;  5.57;   9.64;   13.13;    5.93;    2.56;-999;-999;  29.7; -10.2;    5;   748.3;   33.9;eor
